Long Exact Matches:
   Start1     Start2    Length
   645300    1678538       185
   796833    1034263        40
   961707    1838477       219
   351735    3180239        39
   343175    1931951       273
  1289444    1669914        60
   482786    3250474       329
  1238664    1832168        77
   660129    2957947        76
   849656    1063412        75
   280238     608884        62
  1854414    3263246       147
   662496    1231050        75
  1661358    3250812        57
    66234    1129498       117
   593376    3188080       128
   640604    1270278        38
  1531886    1767746        38
   544924    1353434        74
   821796    1950566       129
    70388    1134118        38
   406744    3108132        92
   335584    2692084        92
    32898     859752        44
  1114168    2498444        58
   937444    2536804        40
  1077159    1918685        39
   548547    1845805       219
  1256515    2429969        39
   650925    1886723       111
   316343    1944767        42
   561940    1777228       186
  1852247    2975285        58
  1717496    3250174        39
   472000    2287418        41
   976350     977098        30
  1897448    3030612        39
   835137    1809559        39
   143249    1970719        57
  1057803    2943659        45
   347155    2647187       218
  1930985    2306053        60
   341921    3123443        74
  1600509    1619001        42
   762367    1977777        38
  3058803    3167855       241
   608971    3080507       110
   536795    1797881        38
  2361513    2415747        94
  2361513    3226783        37
   309197     485119        42
   932619    1223327        55
  3216247    3241389       128
   915615    1129675       345
   665817    2669157        37
   576921    3069807       199
   600175    1809609       163
  1716567    2944879        91
   493987    1879685        91
   305741    1970483        56
   316299     573665        38
   316299    1281933        37
    70389    1831623       111
  1134119    1831623        37
  2396117    2692085        78
   335585    2396117        78
  1749667    3228563        92
  1470627    3249551        55
   585173    2611365        91
   546633    1649555        55
  1404851    2455405        37
   382369    2963799        38
  1009127    1838479        55
   961709    1009127        55
  1680697    2021129        37
   552281    1919685        55
   633915    1776743       146
   770543    1218943        74
   373935     841853        38
  1542247    3057469        37
   311085    2285175        57
  2375063    2536807        92
  2536807    2621699        58
   937447    2621699        37
   937447    2375063        37
  2280224    2599252       294
   313331    3256165        58
  1845563    3230827        60
   984541    3204715        57
   974898     977656        30
  1851506    3132672       112
  1895027    3117147       171
   246817    2210971        59
  1069556    1752852        40
   312994    2461864        57
  1939330    2964592        39
   124836    2744282        75
  1970580    2617742        38
   596640     692678        38
   940668    1220776        41
   415368    2446612        40
   601298    1687556       110
  1242462    2153236        56
   952480    1892210        56
  1722654    2596010        38
   945804    2429970        75
   945804    1256516        38
   579043    1824249        40
  1187425    1513471        40
  1585011    1655119        39
  1236407    1285075        39
  1532882    1848718        47
  1905917    2927821        41
   431742     759606       310
   983674    2730594        57
   795873    2577019        38
   975675    3246255        39
  1086111    1963443        38
  1115169    3006473        38
   411489    1736871       435
  1134417    1336523        39
  1677471    2973453        38
   374829    1639331        57
  1910599    3072391        38
  1010841    1910599        38
   624071    1706107        56
  1815969    2957949        92
   660131    1815969        74
  1002409    1778301        57
   340455    3190377        38
    52385    2023715        38
  1650512    1822292        74
   763320    1205990        37
  2491416    3218876        43
  1895516    2195780        55
   341922    1101520        91
  1101520    3123444        73
   896602    1279370        37
   356904    3134126        38
   527306    3221914       253
   280240     552070        91
   552070     608886        60
   484710    1614504        91
   412812    1943504       811
  1459928    1957516        73
   802030    1196658        38
   649886    1062822       128
  1875032    2708504        37
   376170    1934944       127
  1008556    1812976       199
   466940    1812976       199
  1368508    1865606        37
   583560    1936832        91
  1208498    1798856        55
   440764    1798856        55
  3219936    3244502        79
  1072944    1887584        91
   205706    2171446       109
  1408434    2988084        73
   596780    1408434        73
   732798    1121060        55
   623470    1700576        37
   969936    1019910       109
  2612518    3260758       113
