Long Exact Matches:
   Start1     Start2    Length
  1194495    1211457        21
   826203    1199390        24
  1199703    1206985        38
   579444    1203881        61
   166387    1204003        21
  1203984    1204003        20
  1199836    1207061        20
   915113     994492        95
   924298    1008693        21
   902687     903827        76
     1159    1198998        79
  1198078    1199741        38
  1194895    1203113        20
   883439     883743        20
    39885     974362        20
   252678    1055668       251
  1200261    1200630        39
  1199409    1200630        39
  1200630    1203215        28
   437069    1176475        20
   463856     747128        20
   798189    1024348        25
   166386    1203983        21
   995460    1194989        20
   316995     354574        39
   359570     941301        20
    32390     193875        20
   539906     765481        20
   179788     860467        20
     5991     400561        20
   372688     485143        20
  1003675    1183067        20
    26291     777725        20
   210337     891076        20
   298328     344560        20
   687861     926177        20
   168426     641751        20
   246635     284043        20
   717338     998754        20
   268151     390434        20
   421165     429297        20
   549463    1063267        20
   415750    1051430        20
   155365     185344        20
   618411    1188463        20
   769023     944759        20
   217994     706603        20
   999058    1038331        20
   218849     292780        20
    81133     477288        20
   451261     902457        20
   178553     749483        20
   528213     856363        20
   629306     865597        20
   527643     813274        20
   359285     666676        20
   321049    1209029        20
   321049    1196339        20
   501407     906694        20
   213567     472880        20
    41480     557671        20
   195908     252411        20
   934936    1145333        20
    77504     533552        20
   376868     526921        20
   259669     519370        20
   744866     943106        20
   436973     811963        20
   798815     911064        20
   256268     467522        20
   142483     317545        20
   443471     619570        20
   857997    1121735        20
   720283     760693        20
    28856    1131064        20
   255090     395260        20
   368348    1166879        20
   168882     462050        20
    46458     643575        20
   556341     793153        20
    47465     221851        20
   580164    1015417        20
   586567    1111266        20
  1176721    1206188        20
   166005     500799        20
   426390    1204397        20
   233688    1095013        20
   246464    1135909        20
   205131     513005        20
   507666    1182193        20
   538405     815839        20
   299639     352388        20
   673497     719010        20
    23612     282713        20
   793742     878403        20
    13059     347448        20
   627235    1021820        20
    11406     193419        20
   543630    1075294        20
   803394     893394        20
   106487     180681        20
   579537    1111361        20
   547107     674390        20
   976611    1013004        20
   113088     865635        20
   330720     845088        20
   169927     824579        20
   431140     687766        20
    35571     464900        20
   413413     887998        20
   739147    1071551        20
   473659     542661        20
   425022     506526        20
   461119     792089        20
   412037     429430        20
   630408     631548        20
   459713    1174650        20
