Long Exact Matches:
   Start1     Start2    Length
  1194495    1211457        21
   826203    1199390        24
  1199703    1206985        38
  1211161    1211323        19
   985258     985277        19
   579444    1203881        61
   166387    1204003        21
  1203984    1204003        20
   536708    1196881        19
   472540     527987        19
  1199836    1207061        20
   498920     499015        19
   444708    1182404        19
   895961    1084264        19
   139540     147197        19
   915113     994492        95
   924298    1008693        21
    47714     178004        19
    12738     733137        19
   371189    1199505        19
   902687     903827        76
    12890     733270        19
  1196398    1209069        19
   343946    1199120        19
   343946    1198249        19
   909147    1025869        19
   613226    1025869        19
   841841     909147        19
   613226     841841        19
   139084     147026        19
   897690    1088262        19
    44256     176123        19
     1159    1198998        79
   509929     510290        19
    77753    1145221        19
  1198078    1199741        38
   428045     802237        19
  1194895    1203113        20
    15911     351934        19
   222518     358698        19
   589457     664265        19
   556133     697476        19
    71691     667418        19
   255376    1149837        19
    54667     276360        19
   552371     769214        19
   177262     771931        19
   882793    1006640        19
   437506     568985        19
    19813     312769        19
   173139     490597        19
   155423     244812        19
   216703     224189        19
   388858     871773        19
   717453     981438        19
   744658     961100        19
    15796      27622        19
   486455     687843        19
   109376     936476        19
   682010    1160591        19
   754766    1040080        19
    20649     156278        19
   680015     812933        19
   518307     630485        19
   326712     997805        19
   383025    1003828        19
     2933     392677        19
   303269     801571        19
   253685     714831        19
   194446    1046187        19
   318732     946793        19
   694208    1039073        19
   152611     955191        19
   963836    1187875        19
   726410    1194088        19
   179162    1131749        19
    50487     986606        19
   619742    1039377        19
   391727     546595        19
    59607     384431        19
   763183     855642        19
   811052    1176817        19
  1083997    1172371        19
   604314    1184721        19
   178535     982236        19
   226887     732015        19
   413927     951961        19
    20725     760333        19
   154777     192527        19
   594966     760656        19
    41101     365100        19
   163688     467637        19
   249372     773052        19
    88107     720265        19
   714945     954792        19
   597949     845697        19
  1045465    1113243        19
   232492     941359        19
   515666    1140337        19
   195073     903978        19
   195073     902838        19
   623911    1148032        19
    91147    1193499        19
   157494     708504        19
   252469     624063        19
   883439     883743        20
   108977     280833        19
   269729     638085        19
   103733     541921        19
   473128     625013        19
   627521     783882        19
    39885     974362        20
    42773     677602        19
     9317      32562        19
   488279     721196        19
   409739    1057150        19
   275562     765254        19
