Long Exact Matches:
   Start1     Start2    Length
   645300    1678538       185
   961707    1838477       219
   343175    1931951       273
  1289444    1669914        60
   482786    3250474       329
  1238664    1832168        77
   660129    2957947        76
   849656    1063412        75
   280238     608884        62
  1854414    3263246       147
   662496    1231050        75
  1661358    3250812        57
    66234    1129498       117
   593376    3188080       128
   544924    1353434        74
   821796    1950566       129
   406744    3108132        92
   335584    2692084        92
  1114168    2498444        58
   548547    1845805       219
   650925    1886723       111
   561940    1777228       186
  1852247    2975285        58
   143249    1970719        57
   347155    2647187       218
  1930985    2306053        60
   341921    3123443        74
  3058803    3167855       241
   608971    3080507       110
  2361513    2415747        94
   932619    1223327        55
  3216247    3241389       128
   915615    1129675       345
   576921    3069807       199
   600175    1809609       163
  1716567    2944879        91
   493987    1879685        91
   305741    1970483        56
    70389    1831623       111
  2396117    2692085        78
   335585    2396117        78
  1749667    3228563        92
  1470627    3249551        55
   585173    2611365        91
   546633    1649555        55
  1009127    1838479        55
   961709    1009127        55
   552281    1919685        55
   633915    1776743       146
   770543    1218943        74
   311085    2285175        57
  2375063    2536807        92
  2536807    2621699        58
  2280224    2599252       294
   313331    3256165        58
  1845563    3230827        60
   984541    3204715        57
  1851506    3132672       112
  1895027    3117147       171
   246817    2210971        59
   312994    2461864        57
   124836    2744282        75
   601298    1687556       110
  1242462    2153236        56
   952480    1892210        56
   945804    2429970        75
   431742     759606       310
   983674    2730594        57
   411489    1736871       435
   374829    1639331        57
   624071    1706107        56
  1815969    2957949        92
   660131    1815969        74
  1002409    1778301        57
  1650512    1822292        74
  1895516    2195780        55
   341922    1101520        91
  1101520    3123444        73
   527306    3221914       253
   280240     552070        91
   552070     608886        60
   484710    1614504        91
   412812    1943504       811
  1459928    1957516        73
   649886    1062822       128
   376170    1934944       127
  1008556    1812976       199
   466940    1812976       199
   583560    1936832        91
  1208498    1798856        55
   440764    1798856        55
  3219936    3244502        79
  1072944    1887584        91
   205706    2171446       109
  1408434    2988084        73
   596780    1408434        73
   732798    1121060        55
   969936    1019910       109
  2612518    3260758       113
   430764     963292        73
   970760    1277674        55
  1813242    3091578        54
  1712600    3191894       108
   645148    1942908        54
  1741258    3243026        74
  1881656    3256168        56
   313334    1881656        55
  1798088    3005760        72
  1372288    1585814        75
  1746294    1981608        54
   404578    1733120       900
   916056    1157060        54
  1379438    2586820        58
   373298    1937422       162
   367442    3167718       127
   367442    1750270       127
   617604    1918688       144
   379502    1909490       180
  2110828    3161352       147
   965680    2110828        55
  1138330    3173184        91
  2585066    2613902       361
  2439598    2493392       746
  2552652    2963800       271
   345012    1911172       181
   583098    3217704       235
  1815194    2273862        59
   424744    1175480        72
    30210    2651054       126
  2596012    2598268       145
   820198    1624306        91
   513608    3089968        73
   308356     650678        55
   762652    1137586        90
  1379268    3135272        56
   498684    2289774       108
  1256518    2089682        54
  2312502    3060796        54
    46704     356748        54
   311086    2603998       144
  2285176    2603998        56
  2620098    3149100       127
  2444232    2686624       114
  1268234    2270248        91
   901700    1050660        54
   995218    1789290        55
   875822    1229830       163
  2238242    3180242        90
   977594    1201026        54
  2446192    2653654        76
   917806     990926        72
   415370    2592316        54
  1633266    2950782        90
   777680    2210976       254
   246822     777680        54
  1831624    2041170        90
    70390    2041170        90
   748192    2926452        54
  1697830    3036376       180
   623970    1393674        91
  1394204    1892212        72
   952482    1394204        54
   388936    1944822       216
  1194342    1653576        54
   848576    1683620       324
  1903466    2153238       108
  1242464    1903466        54
   650106    1971792        72
  1806488    2611366       144
   585174    1806488        90
   527626    2990120       126
   802836    1147268        54
   951432    1166264        55
  1934644    3261454       217
   943382    3055062        72
   943382    1886034        72
  2459606    3055062        54
  1886034    2459606        54
   541076    3168634        54
  2614932    3262466        94
   327120     826526        72
   507348    1654322       144
   507348    1037274        72
   482368    3004258        55
     4778    2625730       108
  1938762    2625730        93
   476286    1847018       184
   596777    2988081       238
   450621    1776583       149
  1037271    1654319        75
   440762    1208496        76
  1886032    3055060       164
  1304530    1698466        92
  1882256    3186588       111
  1750267    3167715       131
  1047845    1741097        58
  1010840    3072390        93
  1690411    3016087       290
   480895    3238947        74
   638343    3004323        74
  1849165    3215891        74
   414627    2536577        92
  1970581    3260423        56
   485217    1232791        91
   353653    1821145       127
  2429971    2739555        91
   945805    2739555        74
  1544667    1882895        55
  1124759    3084275        73
  1863399    3218521        55
  1390147    1783857        55
   345793    3014743       163
   470597    2964455        55
  1817063    3148281        91
   557505    1920899       163
   892063    1927195        55
   943381    2459605        55
  1777075    3243231        73
  1354915    3105523        76
   543195    1941887       252
   601421    2361743       127
  1744913    3161581        75
  2461867    3259443       126
   312997    3259443        54
   781315    1891929        54
   634855    1875401       216
   482435    1820549       343
  1280593    2127425        55
   410367    1070857        90
  2584747    3241529        90
   930605    1655963       198
  3197717    3228443       116
   400831    1862721       252
   721095    1862721        55
   568977    1637409       181
   940827    1736873        54
   411491     940827        54
   571161     728699       181
   728699    2774765        72
   337803    3213079       108
  3006475    3139539       562
   576819    3217951        90
   735397    1230355        55
   815803    1015005        55
  1722571    3132833        54
  1122379    1872857        72
   942093    1628817       162
  2408917    2506091       272
  1004923    1406259        54
   307957     692783        91
   902163    1051193        55
   594641    2965773       198
  2595137    3007815        91
   513433    1846109        72
  1972379    3048863        74
  1069085    2744285        54
   124839    1069085        54
   595207    3002761        54
  2386623    3048045        90
   275589    1915359       126
  2881585    3060405       342
   996973    3260759       109
   996973    2612519       109
   430765    1877811       127
   963293    1877811        72
  1168551    3140195        55
  1916141    2415213        54
   360647    3049627        90
    71825    2691893        54
  1838709    3085171        58
   973369    1864195        54
   455555    1795305       414
  1804109    1984069        76
  1749789    2985011        72
   340457    1768903       252
   916707    1257103        54
  1614505    1806079        54
   484711    1806079        54
   602077    3253171        54
   983677    1491497        72
  1491497    2730597        54
   436593    1866011       504
  2538683    2579341        80
   132695     143251        56
   132695    1970721        55
  1477377    1859555        72
   705715    1072031       108
   421807    1710013        72
   640197    1968141        90
   640197    2943221        54
   161277     642301        72
   551379    1852153        55
    52387    2972223        72
   528035    3247597       162
    43037    1776901        54
  1414353    1621963        55
   614811    2571957       288
  1947703    3177549        90
   456733    2961017        90
   624073    2105631       144
  1706109    2105631        54
   620109    1927075       109
   425675     807487       108
  1852673    2393847        90
  1735957    2943661        54
   343821    1878665        72
   103421     539507       360
  1514005    3141319        54
   590981    1638893        54
  1218653    1321405        54
   762773    1137689        54
   392701    1822517        72
   231347    1895517        90
   231347    2195781        54
  2478451    3123445       180
  1101521    2478451        72
   341923    2478451        72
  1677473    2020631        54
   831411    1272249        72
  1129501    1759305       126
    66237    1759305       114
      391    3250815        72
      391    1661361        54
  2375060    2621696        61
    32289    2555379        96
   466938    1008554       256
   400828     721092        58
   770120    1064402        75
   965678    3161350        57
  1185050    2295062        56
  1467308    3059868        92
     4776    1938760        95
   581986    2424432        55
   773486    1147022        56
  1130818    3066402        56
  1086112    1578362        55
  1956878    3160762       164
   571160    2774764        73
   500244    3021636        73
   402602    1828560       474
   574380    2633680        55
  2586284    2598946        74
  1968140    2943220        55
   363300    1904756        73
    29080     759608       271
    29080     431744       271
   449482    1767868       200
   381196     817644       146
   639324    3074568       271
  1469634    1920202        55
   438868    1130336        58
  1880939    3027627        74
   409457    3034427        56
  1399521    1789183        80
  2062879    2712591        90
   716979    1743992       126
   716979    1231862       126
  1574181    2966493        54
  2113014    2763831        54
  1319481    2854116        54
  1319481    1800876        54
   666744    1319481        54
   636290    1319481        54
   760962    1997680        54
    74790    2045529       128
  2045529    2509360       108
   761101    2045529        72
   455344    2045529        72
  2045529    2694822        54
  2014557    3091668        54
  1813332    3091668        54
    42790    3091668        54
  2014557    2603751        54
  1813332    2603751        54
    42790    2603751        54
  2491579    3219075        77
  1330288    1762702        72
  1240131    1330288        72
   714496    1330288        72
   789293    2638397        72
  2419706    3235423        54
   362658    3063018        54
  1381557    3084528        54
    26836     347715        93
    26836    1852050        91
    38146     633674       126
   633674    2658877        54
   197414    2815801        72
   167446    3241125        54
   167446    2786360        54
   167446    1848102        54
   167446     674342        54
   167446     414130        54
  1692622    3060140        92
    80954     926004       108
    80954    2051536        54
   370351    3234325       108
   370351    2418608       108
   728511    2123763        75
   653486    2755926       180
  1706415    2755926       180
   624379    2755926       180
  2617677    2755926        55
